"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","HTTP","",""
"pre_128cipher","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"SSLv3","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","not offered","",""
"TLS1","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_1","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"TLS1_2","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"TLS1_3","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","offered with final","",""
"ALPN_HTTP2","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","h2","",""
"cipherlist_NULL","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_LOW","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","not offered","",""
"cipherlist_STRONG_FS","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"cipher_order-tls1_2","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","server","",""
"cipherorder_TLSv1_2","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","server -- TLS 1.3 client determined","",""
"FS","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","offered","",""
"FS_ciphers","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","prime256v1","",""
"TLS_extensions","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","no","",""
"sessionresumption_ticket","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","not supported","",""
"sessionresumption_ID","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","random","",""
"certificate_compression","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"clientAuth","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","none","",""
"cert_numbers","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","1","",""
"cert_signatureAlgorithm","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","ECDSA with SHA384","",""
"cert_keySize","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","Digital Signature","",""
"cert_extKeyUsage","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","049DAE9C588681AE8B6474FF282680FC705C","",""
"cert_serialNumberLen","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","18","",""
"cert_fingerprintSHA1","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","3CE9AD3704A5253C34CD4732B80425E9756F7545","",""
"cert_fingerprintSHA256","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","AD7AFABE23192C81F8F33C4F2BB21419E0F3456FDC4445194455E7A8FB8FCADE","",""
"cert","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","-----BEGIN CERTIFICATE-----\nMIID7jCCA3OgAwIBAgISBJ2unFiGga6LZHT/KCaA/HBcMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNjAeFw0yNTAxMjExNDE4NTZaFw0yNTA0MjExNDE4NTVaMC8xLTArBgNVBAMTJGpvdXJuZWVzZHVwYXRyaW1vaW5lLmN1bHR1cmUuZ291di5mcjBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IABFZ6pWRs2QPSnQanv4VkPTRWBaXV2ShdJVOCTdV2lt9YXm62wF+K3eMBbIVLzcm+2PopewFrq/5cX+/3VQuWVkujggJqMIICZjAOBgNVHQ8BAf8EBAMCB4AwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFKIcEvWEbytgnMY7FpILj2VIblj1MB8GA1UdIwQYMBaAFJMnRpgDqVFojpjWxEJI2yO/WJTSMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL2U2Lm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vZTYuaS5sZW5jci5vcmcvMHQGA1UdEQRtMGuCJGpvdXJuZWVzZHVwYXRyaW1vaW5lLmN1bHR1cmUuZ291di5mcoIdbnVpdGRlc211c2Vlcy5jdWx0dXJlLmdvdXYuZnKCJHJlbmRlenZvdXNhdXhqYXJkaW5zLmN1bHR1cmUuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQMGCisGAQQB1nkCBAIEgfQEgfEA7wB2AKLjCuRF772tm3447Udnd1PXgluElNcrXhssxLlQpEfnAAABlIlwn2QAAAQDAEcwRQIgD7AD5LK3atYq1s+UqRPhyDYHUU0JUfD1JzVv98pzMZ4CIQCBH448R7yx/HvTQF8ZPHyZ/BVYA8SyaBHo62DNHRHx9QB1AE51oydcmhDDOFts1N8/Uusd8OCOG41pwLH6ZLFimjnfAAABlIlwn14AAAQDAEYwRAIgLv3TpG7dkAMxszugV2Om3DXXchZoX+uqLarT7QN34c0CIGgOlbllSDDbRjxCkdMF11/lNNsNSC9mnvMM8X3TgFpNMAoGCCqGSM49BAMDA2kAMGYCMQCotOup9lER77hNkfKHgxpY7QzWWcD/8Lljvz6geNf2jFgu8kQREVe25MsoVAE+SNsCMQCXJzVSj06mtBVldjry8aDzK1chR4183+fQGP/YIHzNfjsVnLaSMNiVmLMlMV537LE=\n-----END CERTIFICATE-----","",""
"cert_commonName","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","journeesdupatrimoine.culture.gouv.fr","",""
"cert_commonName_wo_SNI","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","request w/o SNI didn't succeed, usual for EC certificates","",""
"cert_subjectAltName","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","journeesdupatrimoine.culture.gouv.fr nuitdesmusees.culture.gouv.fr rendezvousauxjardins.culture.gouv.fr","",""
"cert_trust","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","passed.","",""
"cert_certificatePolicies_EV","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","no","",""
"cert_expirationStatus","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","64 >= 30 days","",""
